Name,Ticker,Industry,PEG_ratio,Market Cap,beta,Growth,Holders,recomendation
"Lumen Technologies, Inc.",LUMN,Communication Services,-0.35,11027295232,1.019117,-0.054,0.79533,hold
LyondellBasell Industries NV,LYB,Basic Materials,1.9,28200116224,1.388725,0.449,0.74178004,buy
M&T Bank Corporation,MTB,Financial Services,2.14,20101883904,0.918137,-0.051,0.6639,buy
MGM Resorts International,MGM,Consumer Cyclical,-0.11,12453499904,2.181353,0.788,0.71584,buy
MSCI Inc,MSCI,Financial Services,2.25,34534449152,0.996078,0.17,0.93505996,buy
Marathon Oil Corporation,MRO,Energy,0.59,16232497152,2.766666,1.091,0.802,buy
Marathon Petroleum Corporation,MPC,Energy,0.55,51967934464,1.910294,0.967,0.82037,buy
"MarketAxess Holdings, Inc.",MKTX,Financial Services,3.51,10136724480,0.406862,-0.048,0.97110003,hold
Marriott International,MAR,Consumer Cyclical,0.25,46686662656,1.690686,1.11,0.63535,buy
"Marsh & McLennan Companies, Inc",Null,Financial Services,2.67,76229042176,0.961764,0.092,0.91073996,buy
"Martin Marietta Materials, Inc.",MLM,Basic Materials,1.38,19647803392,0.773529,0.265,0.95286006,buy
Masco Corporation,MAS,Industrials,1.15,12646383616,1.234142,0.117,0.96129,buy
Mastercard Incorporated,MA,Financial Services,1.33,3.23E+11,1.032354,0.244,0.78093004,buy
"Match Group, Inc.",MTCH,Communication Services,1.96,18468464640,,0.237,0.9897,buy
"McCormick & Company, Incorporat",MKC,Consumer Defensive,4.36,21852698624,0.471078,0.028,0.86061996,hold
McDonald's Corporation,MCD,Consumer Cyclical,3.33,1.89E+11,0.554704,0.106,0.6969,buy
McKesson Corporation,MCK,Healthcare,1.05,50385059840,0.716666,0.096,0.898,buy
Medtronic plc.,MDT,Healthcare,1.47,1.20E+11,0.75245,-0.002,0.83663005,buy
"Merck & Company, Inc.",MRK,Healthcare,1.23,2.40E+11,0.35547,0.496,0.75101995,buy
"MetLife, Inc.",MET,Financial Services,0.91,49653673984,1.184313,0.035,0.77532995,buy
"Mettler-Toledo International, I",Null,Healthcare,1.77,26639505408,1.077941,0.106,0.95485,hold
Microchip Technology Incorporat,MCHP,Technology,0.51,34612850688,1.566176,0.3,0.92716,buy
"Micron Technology, Inc.",MU,Technology,0.24,68924055552,1.155392,0.249,0.82324,buy
Microsoft Corporation,MSFT,Technology,1.7,1.92E+12,0.932311,0.184,0.71946996,buy
Mid-America Apartment Communiti,Null,Real Estate,6.81,19284463616,0.719607,0.12,0.9566,buy
"Moderna, Inc.",MRNA,Healthcare,-0.15,66390122496,1.646803,2.132,0.64172995,buy
"Mohawk Industries, Inc.",MHK,Consumer Cyclical,1.06,8440134656,1.507352,0.13,0.78985,hold
Molina Healthcare Inc,MOH,Healthcare,0.87,17455177728,0.783333,0.194,0.96699,buy
Molson Coors Beverage Company,TAP,Consumer Defensive,5.32,12751092736,0.95196,0.142,0.8935,hold
"Mondelez International, Inc.",MDLZ,Consumer Defensive,3.22,84730478592,0.709313,0.073,0.79587,buy
"Monolithic Power Systems, Inc.",MPWR,Technology,1.33,19135291392,1.057896,0.484,0.96244,buy
Monster Beverage Corporation,MNST,Consumer Defensive,2.14,51405856768,1.141176,0.191,0.65272003,buy
Moody's Corporation,MCO,Financial Services,4.82,52351295488,1.207352,0.193,0.95532,buy
Morgan Stanley,MS,Financial Services,,1.34E+11,1.407407,-0.11,0.65397,none
Mosaic Company (The),MOS,Basic Materials,-0.39,16675857408,1.629901,0.563,0.88637,buy
"Motorola Solutions, Inc.",MSI,Technology,1.43,36316233728,0.882352,0.021,0.88361,buy
"NRG Energy, Inc.",NRG,Utilities,0.3,8809307136,0.911274,2.476,1.01571,buy
NVIDIA Corporation,Null,Technology,0.93,3.93E+11,1.423039,0.528,0.65873003,buy
"NVR, Inc.",NVR,Consumer Cyclical,1.82,15196736512,1.021078,0.165,0.89911,hold
NXP Semiconductors N.V.,NXPI,Technology,1.14,43607691264,1.394607,0.212,0.94356,buy
"Nasdaq, Inc.",NDAQ,Financial Services,2.35,26265561088,0.906862,-0.071,0.78051,buy
"NetApp, Inc.",NTAP,Technology,1.35,14587480064,1.221796,0.08,0.93086,buy
"Netflix, Inc.",NFLX,Communication Services,1.38,84016652288,1.277564,0.098,0.80573,hold
Newell Brands Inc.,NWL,Consumer Defensive,2.52,8082599936,0.838235,0.044,0.94356,buy
Newmont Corporation,NEM,Basic Materials,,43436519424,0.427415,0.053,0.83492994,hold
News Corporation,NWS,Communication Services,,9436902400,1.335784,0.126,0.34395,none
News Corporation,NWS,Communication Services,1.04,9344013312,1.335784,0.126,0.98977995,buy
"NextEra Energy, Inc.",NEE,Utilities,2.74,1.54E+11,0.385294,-0.224,0.80127,buy
NiSource Inc,NI,Utilities,2.75,11678867456,0.375053,0.212,0.94918996,buy
Nielsen N.V.,NLSN,Industrials,2.38,8409320448,1.383141,0.016,1.18653,hold
"Nike, Inc.",NKE,Consumer Cyclical,2.03,1.65E+11,1.005534,-0.009,0.83291,buy
Nordson Corporation,NDSN,Industrials,1.67,11943475200,0.940825,0.078,0.73931,buy
Norfolk Southern Corporation,NSC,Industrials,1.42,54313705472,1.326096,0.105,0.76412004,buy
Northern Trust Corporation,NTRS,Financial Services,1.73,20616583168,1.12598,0.064,0.83262,hold
Northrop Grumman Corporation,NOC,Industrials,2.97,72564285440,0.740686,-0.039,0.84402,buy
NortonLifeLock Inc.,Null,Technology,1.61,13682878464,0.971568,0.099,1.03289,buy
Norwegian Cruise Line Holdings ,NCLH,Consumer Cyclical,0.2,4945391616,2.524478,167.368,0.56302,buy
Nucor Corporation,NUE,Basic Materials,0.12,31529347072,1.345098,0.495,0.83542,hold
"O'Reilly Automotive, Inc.",Null,Consumer Cyclical,1.91,46032924672,1.021078,0.066,0.86623,buy
ON Semiconductor Corporation,ON,Technology,0.52,24156860416,1.710294,0.276,0.96498,buy
"ONEOK, Inc.",OKE,Energy,1.47,24838690816,1.745588,1.109,0.67165,hold
Occidental Petroleum Corporatio,OXY,Energy,0.35,54834024448,2.094607,0.902,0.82332003,buy
"Old Dominion Freight Line, Inc.",ODFL,Industrials,0.92,29363458048,1.033333,0.329,0.74582,hold
Omnicom Group Inc.,OMC,Communication Services,1.08,13814209536,0.764705,-0.005,0.98699,buy
Oracle Corporation,ORCL,Technology,1.45,1.89E+11,0.830392,0.042,0.43271,hold
Organon & Co.,OGN,Healthcare,-1.28,8105993216,,-0.006,0.75063,buy
Otis Worldwide Corporation,OTIS,Industrials,2.44,29525694464,0.725558,0.002,0.85234,buy
PACCAR Inc.,Null,Industrials,1.43,27791519744,0.92598,0.107,0.66623,buy
"PNC Financial Services Group, I",PNC,Financial Services,-2.96,64841580544,1.243137,0.027,0.85541,buy
"PPG Industries, Inc.",PPG,Basic Materials,1.04,27728437248,1.220588,0.11,0.79941005,buy
PPL Corporation,PPL,Utilities,1.19,20667213824,0.810784,0.083,0.65232,buy
PTC Inc.,PTC,Technology,1.73,12051232768,1.261274,0.094,0.90613997,buy
PVH Corp.,Null,Consumer Cyclical,-1.19,3986624000,2.199509,0.163,1.05441,buy
Packaging Corporation of Americ,Null,Consumer Cyclical,1.39,12899750912,0.845588,0.182,0.97675,buy
Paramount Global,PARA,Communication Services,-1.63,,1.531372,0.164,0.71002996,hold
Parker-Hannifin Corporation,Null,Industrials,1.29,31917985792,1.65147,0.121,0.8308,buy
"PayPal Holdings, Inc.",PYPL,Financial Services,1.25,86839083008,1.289705,0.075,0.76733,buy
"Paychex, Inc.",PAYX,Industrials,2.36,41487052800,0.980882,0.148,0.71849,hold
"Paycom Software, Inc.",PAYC,Technology,1.93,18117586944,1.479901,0.29,0.76616997,buy
"Penn National Gaming, Inc.",Null,Consumer Cyclical,0.07,5322739712,2.393627,0.531,0.82192004,buy
Pentair plc.,PNR,Industrials,1.59,7646738432,1.113235,0.154,0.90462,hold
"Pepsico, Inc.",Null,Consumer Defensive,3.42,2.37E+11,0.653431,0.093,0.73058,buy
"PerkinElmer, Inc.",PKI,Healthcare,0.43,17055929344,1.10147,0.007,0.90005994,buy
"Pfizer, Inc.",PFE,Healthcare,-9.15,2.90E+11,0.721568,1.068,0.69549006,buy
Philip Morris International Inc,PM,Consumer Defensive,4.6,1.40E+11,0.789705,0.021,0.77129,buy
Phillips 66,PSX,Energy,1.22,35774808064,,0.697,0.68375,buy
Pinnacle West Capital Corporati,PNW,Utilities,183.3,7980815872,0.275,0.078,0.90052,hold
Pioneer Natural Resources Compa,PXD,Energy,0.5,50889732096,1.608823,1.763,0.92494005,buy
Pool Corporation,POOL,Consumer Cyclical,1.25,14986899456,0.890196,0.332,0.97257006,buy
Principal Financial Group Inc,PFG,Financial Services,0.77,16617175040,1.522058,0.087,0.77852994,hold
Procter & Gamble Company (The),PG,Consumer Defensive,4.28,3.51E+11,0.442647,0.07,0.65633005,buy
Progressive Corporation (The),PGR,Financial Services,0.76,67837153280,0.480392,0.035,0.85759,hold
"Prologis, Inc.",PLD,Real Estate,-5.72,89465962496,0.879901,0.066,0.96446,buy
"Prudential Financial, Inc.",PRU,Financial Services,3.29,34900742144,1.52696,0.023,0.60008997,hold
Public Service Enterprise Group,PEG,Utilities,2.73,30617954304,0.589705,0.272,0.72801,buy
Public Storage,PSA,Real Estate,1.69,54942232576,0.270098,0.227,0.80078006,buy
"PulteGroup, Inc.",PHM,Consumer Cyclical,0.43,11127525376,1.423529,0.168,0.94217,buy
QUALCOMM Incorporated,Null,Technology,0.72,1.62E+11,1.22598,0.407,0.76098,buy
"Qorvo, Inc.",QRVO,Technology,0.76,11042140160,1.368137,0.017,0.88805,buy
"Quanta Services, Inc.",PWR,Industrials,1.03,18241296384,1.171078,0.347,0.92569,buy
Quest Diagnostics Incorporated,DGX,Healthcare,-1.08,16666626048,1.104901,-0.04,0.95286006,buy
Ralph Lauren Corporation,RL,Consumer Cyclical,0.14,6847117312,1.424019,0.267,0.99806,buy
"Raymond James Financial, Inc.",RJF,Financial Services,1.44,18591688704,1.082352,0.101,0.80258006,buy
Raytheon Technologies Corporati,RTX,Industrials,1.18,1.37E+11,0.883823,0.03,0.80651003,buy
Realty Income Corporation,O,Real Estate,2.75,39778934784,0.80147,0.651,0.77242994,buy
Regency Centers Corporation,REG,Real Estate,3.51,10307021824,1.133333,0.151,1.01106,buy
"Regeneron Pharmaceuticals, Inc.",REGN,Healthcare,-0.87,65336672256,0.209313,1.044,0.86926,buy
Regions Financial Corporation,RF,Financial Services,0.36,18293501952,1.310784,-0.066,0.78363,buy
"Republic Services, Inc.",RSG,Industrials,2.49,40905256960,0.818137,0.148,0.96584,buy
ResMed Inc.,RMD,Healthcare,1.36,32860538880,0.325,0.125,0.6797,buy
Robert Half International Inc.,RHI,Industrials,1.28,8534558208,1.439215,0.298,0.90893996,hold
"Rockwell Automation, Inc.",ROK,Industrials,2.34,23939282944,1.438235,0.187,0.81991,hold
"Rollins, Inc.",ROL,Consumer Cyclical,5.61,17516943360,0.594117,0.103,0.41999,hold
"Roper Technologies, Inc.",ROP,Industrials,3.65,41682395136,1.068137,-0.001,0.95775,buy
"Ross Stores, Inc.",ROST,Consumer Cyclical,0.49,27552673792,1.070588,0.181,0.88989997,buy
S&P Global Inc.,SPGI,Financial Services,2.14,84217454592,1.053431,0.118,0.86981004,buy
SBA Communications Corporation,SBAC,Real Estate,2.01,34891505664,0.432352,0.129,0.9803,buy
STERIS plc (Ireland),STE,Healthcare,2.67,20930811904,0.639215,0.495,0.94149,buy
SVB Financial Group,SIVB,Financial Services,1.54,23980845056,1.82549,0.147,0.9333,buy
"Salesforce, Inc.",CRM,Technology,2.28,1.65E+11,1.091666,0.259,0.80164003,buy
Schlumberger N.V.,SLB,Energy,0.66,45304946688,2.037745,0.141,0.80078006,none
Seagate Technology Holdings PLC,STX,Technology,0.41,17272100864,1.02549,0.026,0.83639,none
Sealed Air Corporation,SEE,Consumer Cyclical,1.26,8388648960,1.244607,0.142,0.95765996,buy
"ServiceNow, Inc.",NOW,Technology,2.21,86688382976,1.036274,0.266,0.90842,buy
Sherwin-Williams Company (The),SHW,Basic Materials,1.96,64387473408,1.146078,0.074,0.79963,buy
Signature Bank,SBNY,Financial Services,1.34,11615349760,1.762745,0.482,0.97154,buy
"Simon Property Group, Inc.",SPG,Real Estate,2.41,31665727488,1.498529,0.173,0.88728,buy
"Skyworks Solutions, Inc.",SWKS,Technology,0.76,16714010624,1.095588,0,0.75898004,buy
Snap-On Incorporated,Null,Industrials,3.01,10592969728,1.190196,0.065,0.92496,hold
"SolarEdge Technologies, Inc.",SEDG,Technology,1.09,13962309632,0.95196,0.541,0.83448,buy
Southern Company (The),SO,Utilities,3.26,76655337472,0.519117,0.125,0.60814,hold
Southwest Airlines Company,LUV,Industrials,-0.71,23469201408,1.006385,1.288,0.80113,buy
"Stanley Black & Decker, Inc.",SWK,Industrials,0.93,17465724928,1.364705,0.195,0.97424006,buy
Starbucks Corporation,SBUX,Consumer Cyclical,3.11,,0.895098,0.193,0.6908,buy
State Street Corporation,STT,Financial Services,0.77,24010854400,1.553921,0.041,0.91837996,buy
Stryker Corporation,SYK,Healthcare,2.71,73471262720,0.986764,0.081,0.75626,buy
Synchrony Financial,SYF,Financial Services,0.16,17178460160,1.594607,0.011,1.00752,buy
"Synopsys, Inc.",SNPS,Technology,2.04,48225562624,1.167647,0.309,0.90147,buy
Sysco Corporation,SYY,Consumer Defensive,0.49,44918919168,1.25245,0.412,0.84834,buy
"T-Mobile US, Inc.",TMUS,Communication Services,0.77,1.72E+11,0.507843,0.018,0.42775002,buy
"T. Rowe Price Group, Inc.",TROW,Financial Services,0.9,26444865536,,0.02,0.74963,hold
TE Connectivity Ltd. New Switze,TEL,Technology,1.46,37741363200,1.323039,0.072,0.94573,none
"TJX Companies, Inc. (The)",TJX,Consumer Cyclical,1.36,72240816128,0.956862,0.266,0.94195,buy
"Take-Two Interactive Software, ",TTWO,Communication Services,1.57,14279905280,0.635294,0.049,0.91559,buy
"Tapestry, Inc.",TPR,Consumer Cyclical,0.4,8474404352,1.422549,0.27,0.92070997,buy
Target Corporation,TGT,Consumer Defensive,1.06,70273114112,1.058823,0.094,0.80948997,buy
Teledyne Technologies Incorpora,TDY,Technology,0.93,17823686656,1.093137,0.64,0.90922,buy
Teleflex Incorporated,TFX,Healthcare,1.84,11436738560,1.05245,0.012,0.92789,buy
"Teradyne, Inc.",TER,Technology,2.6,15281625088,1.499509,-0.034,1.0265499,buy
"Tesla, Inc.",TSLA,Consumer Cyclical,1.49,7.23E+11,2.079411,0.805,0.43125,buy
Texas Instruments Incorporated,TXN,Technology,1.87,1.48E+11,0.946568,0.144,0.85913,hold
Textron Inc.,TXT,Industrials,0.76,13258563584,1.710784,0.042,0.88878,none
The AES Corporation,AES,Utilities,1.56,13590950912,0.974031,0.082,0.95537,buy
The Bank of New York Mellon Cor,BK,Financial Services,1.23,35848888320,1.107352,-0.02,0.85148,buy
"The Cooper Companies, Inc.",COO,Healthcare,2.26,14501742592,0.85098,0.157,1.0135399,buy
The Hershey Company,HSY,Consumer Defensive,2.91,44661665792,0.40098,0.161,0.76488,hold
The Kraft Heinz Company,KHC,Consumer Defensive,-10.32,46525755392,0.987254,-0.055,0.79186994,hold
"The Travelers Companies, Inc.",TRV,Financial Services,1.83,38421684224,0.708823,0.06,0.84830004,hold
Thermo Fisher Scientific Inc,TMO,Healthcare,2.46,2.12E+11,0.82598,0.193,0.90467,buy
Tractor Supply Company,TSCO,Consumer Cyclical,1.4,23127207936,0.983333,0.083,0.86921,buy
Trane Technologies plc,TT,Industrials,0.84,30775681024,1.3,0.123,0.87041,hold
Transdigm Group Incorporated,TDG,Industrials,1.4,29732747264,1.464705,0.078,0.98774004,buy
Trimble Inc.,TRMB,Technology,2.2,14729149440,1.580392,0.116,0.93883,buy
Truist Financial Corporation,TFC,Financial Services,3.45,63287132160,1.143627,-0.003,0.74797,hold
"Twitter, Inc.",TWTR,Communication Services,0.26,30177282048,0.80147,0.159,0.75277,hold
"Tyler Technologies, Inc.",TYL,Technology,4.68,13895882752,0.77549,0.547,0.92375,buy
"Tyson Foods, Inc.",TSN,Consumer Defensive,1.31,29747226624,0.761274,0.236,0.88338995,buy
U.S. Bancorp,USB,Financial Services,1.92,69190909952,1.020008,-0.073,0.76988,hold
"UDR, Inc.",UDR,Real Estate,-6.09,13798970368,0.743627,0.184,1.03352,buy
"Ulta Beauty, Inc.",ULTA,Consumer Cyclical,0.46,21498707968,1.65196,0.241,0.92322,buy
Union Pacific Corporation,UNP,Industrials,1.21,1.34E+11,1.17549,0.172,0.8312,buy
"United Airlines Holdings, Inc.",UAL,Industrials,-0.51,12557235200,1.392647,1.349,0.58945,buy
"United Parcel Service, Inc.",UPS,Industrials,0.98,1.59E+11,1.113725,0.064,0.71172,buy
"United Rentals, Inc.",URI,Industrials,0.43,18231805952,1.839215,0.227,0.93417,buy
UnitedHealth Group Incorporated,UNH,Healthcare,1.51,4.99E+11,0.87745,0.142,0.89621,buy
"Universal Health Services, Inc.",UHS,Healthcare,1.1,8282839552,1.057843,0.093,1.02212,hold
V.F. Corporation,Null,Consumer Cyclical,0.32,17851942912,1.504411,0.22,0.87966,buy
VICI Properties Inc.,Null,Real Estate,1.97,20434456576,1.131681,0.027,0.82544,buy
Valero Energy Corporation,VLO,Energy,0.45,42760155136,1.981372,0.886,0.8258,buy
"Ventas, Inc.",VTR,Real Estate,,20280576000,1.171136,0.113,0.96061,buy
"VeriSign, Inc.",VRSN,Technology,3.52,19714123776,0.917156,0.072,0.95058,buy
"Verisk Analytics, Inc.",VRSK,Industrials,,28237615104,0.83908,0.068,0.96021,buy
Verizon Communications Inc.,VZ,Communication Services,2.65,2.14E+11,0.383567,0.021,0.6441,hold
Vertex Pharmaceuticals Incorpor,VRTX,Healthcare,,74895589376,0.494252,0.216,0.93988997,buy
Viatris Inc.,VTRS,Healthcare,-2.4,11912491008,1.373529,0.198,0.75393,hold
Visa Inc.,V,Financial Services,1.52,,0.921568,0.255,0.96185994,buy
Vornado Realty Trust,VNO,Real Estate,,5957606912,1.251596,0.163,0.83263,hold
Vulcan Materials Company (Holdi,VMC,Basic Materials,,19764293632,0.753086,0.442,0.9153,buy
W.R. Berkley Corporation,WRB,Financial Services,1.83,11133619200,0.788235,0.352,0.69304,buy
"W.W. Grainger, Inc.",GWW,Industrials,1.18,23565248512,1.249019,0.183,0.73083,hold
"WEC Energy Group, Inc.",WEC,Utilities,3.86,31780077568,0.287745,0.139,0.71079004,hold
"Walgreens Boots Alliance, Inc.",WBA,Healthcare,3.49,32855828480,0.548529,0.03,0.61285996,hold
Walmart Inc.,WMT,Consumer Defensive,,3.54E+11,0.522349,0.024,0.33099997,buy
Walt Disney Company (The),DIS,Communication Services,0.61,1.73E+11,1.155882,0.343,0.65793,buy
"Warner Bros. Discovery, Inc. - ",WBD,Communication Services,3.68,33878687744,1.351213,0.131,0.09328,buy
"Waste Management, Inc.",WM,Industrials,2.38,63588212736,0.87549,0.134,0.84810996,buy
Waters Corporation,WAT,Healthcare,2.43,20386736128,0.891176,0.063,0.90721,hold
Wells Fargo & Company,WFC,Financial Services,1.42,1.64E+11,1.15098,-0.061,0.74325997,buy
Welltower Inc.,WELL,Real Estate,7.7,36871282688,0.968922,0.327,0.99037004,buy
"West Pharmaceutical Services, I",WST,Healthcare,3.06,22256504832,1.054411,0.074,0.95862,buy
Western Digital Corporation,WDC,Technology,0.35,14774046720,1.587745,0.059,0.83294,buy
Westinghouse Air Brake Technolo,Null,Industrials,2.53,15537901568,1.574509,0.053,0.95405996,buy
Westrock Company,Null,Consumer Cyclical,0.48,10363035648,1.119117,0.125,0.96391,buy
Weyerhaeuser Company,WY,Real Estate,2.52,26051784704,1.67549,0.242,0.88001996,buy
Whirlpool Corporation,WHR,Consumer Cyclical,7.61,9681235968,1.708333,-0.082,1.06492,hold
"Williams Companies, Inc. (The)",WMB,Energy,,38221152256,1.22435,0.026,0.86906,buy
Willis Towers Watson Public Lim,WTW,Financial Services,2.23,21729009664,0.796083,-0.031,0.97888,none
"Wynn Resorts, Limited",WYNN,Consumer Cyclical,,6432578560,2.186036,0.294,0.61819,buy
Xcel Energy Inc.,XEL,Utilities,3.28,37685768192,0.366666,0.059,0.74116,buy
Xylem Inc.,XYL,Industrials,,13917586432,1.068114,0.013,0.94119,hold
"Yum! Brands, Inc.",YUM,Consumer Cyclical,,33692127232,1.018305,0.041,0.8653,buy
Zebra Technologies Corporation,ZBRA,Technology,,15634408448,1.606641,0.063,0.89836997,buy
"Zimmer Biomet Holdings, Inc.",ZBH,Healthcare,2.63,21624068096,1.20049,-0.133,0.95873,hold
Zions Bancorporation N.A.,ZION,Financial Services,-0.3,7921722368,1.265196,-0.15,0.85188,buy
Zoetis Inc.,ZTS,Healthcare,,82143584256,0.728395,0.061,0.93753,buy
eBay Inc.,EBAY,Consumer Cyclical,1.19,27300032512,1.154411,0.054,0.94995004,buy
